time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	6.5	0.1	0.2	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.74274	0.486658	6.47154	-0.0790522	0.190987	radar	1.65084	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1162	0.494149	6.48036	-0.0794685	0.190053	lidar	0.421878	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.42232	0.563398	6.12427	-0.0883826	0.111678	radar	19.2138	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.70882	0.548307	6.09582	-0.0638604	0.120586	lidar	0.77214	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.9722	0.565317	5.92336	-0.0263995	0.105103	radar	5.16193	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.24925	0.575101	5.89232	-0.00114187	0.122568	lidar	0.79443	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.48417	0.626981	5.70623	0.0472795	0.131922	radar	9.23379	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.74376	0.647507	5.67652	0.0632388	0.138372	lidar	0.728552	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	3.00756	0.664559	5.61082	0.0660716	0.115774	radar	1.73078	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.23246	0.675102	5.54942	0.0716879	0.0996186	lidar	4.32587	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.50997	0.624952	5.52608	0.022395	-0.00538783	radar	3.8656	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.80925	0.542223	5.55522	-0.0421575	-0.120301	lidar	5.74172	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.08485	0.570443	5.55005	-0.0203419	-0.0698392	radar	1.25015	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.3523	0.56893	5.53889	-0.0204673	-0.065375	lidar	0.166012	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.61454	0.587769	5.50313	-0.0100035	-0.0453588	radar	1.93092	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.79459	0.68757	5.39191	0.0545118	0.0565171	lidar	21.1717	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.05095	0.687168	5.35423	0.0457036	0.0362858	radar	3.35806	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.35213	0.681512	5.39244	0.036136	0.0207206	lidar	2.44686	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.61187	0.688774	5.38451	0.0359253	0.0183783	radar	1.74754	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.90374	0.70102	5.40973	0.03801	0.0210151	lidar	1.16722	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.15425	0.654316	5.37166	0.00602223	-0.0266472	radar	6.02867	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.40777	0.756389	5.35628	0.0596716	0.0483239	lidar	4.27956	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.66354	0.780097	5.33421	0.0657876	0.0531147	radar	1.30978	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.90683	0.770572	5.31061	0.0547129	0.0352054	lidar	1.60401	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.15875	0.76235	5.27836	0.044427	0.0198448	radar	5.08694	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.3763	0.838804	5.23355	0.0781082	0.0597237	lidar	6.23054	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.65488	0.85353	5.25756	0.0778466	0.0557862	radar	2.74336	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.90149	0.823798	5.24101	0.0572582	0.0285049	lidar	1.87155	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.1572	0.839589	5.22283	0.058738	0.0283279	radar	3.17427	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.39241	0.852239	5.19836	0.0595581	0.0278013	lidar	1.71436	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.65408	0.914923	5.21226	0.0822161	0.0517858	radar	6.1315	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.88742	0.975186	5.18898	0.102532	0.0714798	lidar	2.21302	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.16436	1.00894	5.20848	0.108417	0.0738329	radar	6.08218	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.39846	1.04377	5.18581	0.115627	0.0778688	lidar	1.66099	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.66833	1.09997	5.20213	0.129989	0.088978	radar	4.44136	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.93831	1.23129	5.2203	0.174674	0.131757	lidar	5.58364	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1931	1.30247	5.21073	0.192319	0.144111	radar	5.02052	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4177	1.39071	5.18616	0.216566	0.162618	lidar	2.83296	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.662	1.46319	5.16581	0.232814	0.172565	radar	5.08105	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8887	1.50617	5.14165	0.235758	0.167049	lidar	2.25075	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1476	1.5596	5.14962	0.240327	0.162811	radar	1.37496	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4245	1.61423	5.17296	0.243446	0.156983	lidar	2.13985	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6649	1.67405	5.15686	0.251244	0.157747	radar	1.35352	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8947	1.74544	5.14057	0.263212	0.162421	lidar	1.09019	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1453	1.82504	5.14954	0.275383	0.166165	radar	1.14881	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3864	1.86386	5.13763	0.271398	0.153381	lidar	0.937807	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
